,Shape,Price,Carat,Cut,Color,Clarity,Polish,Symmetry,Depth,Table,L/W
20130,Pear,11432,1.62,Very Good,F,SI1,Excellent,Excellent,60.6,59,1.58
20131,Oval,11432,1.51,Very Good,G,VVS1,Excellent,Excellent,61.4,61,1.39
20132,Round,11430,1.2,Ideal,D,VS1,Excellent,Excellent,62.9,57,1.01
20133,Round,11430,1.2,Ideal,D,VS1,Excellent,Excellent,62.9,56,1.01
20134,Round,11430,1.05,Ideal,E,IF,Excellent,Excellent,61.4,58,1
20135,Round,11428,1.08,Ideal,E,VVS1,Excellent,Excellent,62.8,56,1.01
20136,Round,11428,1.4,Ideal,G,VVS1,Excellent,Excellent,62.9,57,1.01
20137,Round,11426,1.01,Ideal,E,IF,Excellent,Excellent,61.2,60,1.01
20138,Round,11426,1.5,Ideal,G,VS2,Excellent,Excellent,60.4,59,1
20139,Round,11426,1.01,Ideal,E,IF,Excellent,Excellent,61.2,59,1
20140,Cushion,11425,1.47,Very Good,F,VS1,Excellent,Very Good,69.4,57,1.2
20141,Cushion,11425,1.51,Very Good,F,VS2,Excellent,Very Good,67.9,61,1.03
20142,Round,11424,1.24,Astor Ideal,G,VS1,Excellent,Excellent,61.7,56,1
20143,Round,11424,1.52,Ideal,F,SI1,Excellent,Excellent,60.2,59,1
20144,Round,11423,1.51,Ideal,H,VVS1,Excellent,Excellent,62.1,59,1.01
20145,Round,11423,2.01,Ideal,J,SI2,Excellent,Excellent,60.4,59,1
20146,Round,11422,1.5,Ideal,G,VS1,Excellent,Excellent,62.8,58,1.01
20147,Pear,11422,2.01,Very Good,H,SI2,Excellent,Very Good,61.9,61,1.41
20148,Round,11421,1.5,Ideal,H,VS1,Excellent,Excellent,62.1,57,1.01
20149,Round,11421,1.7,Very Good,D,SI2,Excellent,Excellent,63.1,58,1.01
20150,Pear,11420,2.12,Good,I,SI2,Very Good,Good,56.6,56,1.71
20151,Round,11420,1.41,Ideal,D,SI1,Excellent,Excellent,61.1,59,1.01
20152,Round,11419,1.36,Ideal,G,VVS1,Excellent,Excellent,62.6,57,1
20153,Round,11419,1.51,Ideal,H,VS2,Excellent,Excellent,61.8,58,1.01
20154,Round,11419,1.51,Ideal,H,VS2,Excellent,Excellent,62.0,59,1
20155,Round,11418,1.13,Ideal,E,VVS2,Excellent,Excellent,62.3,57,1
20156,Round,11418,1.21,Ideal,F,VVS2,Excellent,Excellent,59.5,60,1.01
20157,Round,11418,1.22,Ideal,F,VVS2,Excellent,Excellent,62.3,59,1.01
20158,Oval,11418,1.8,Good,H,SI1,Excellent,Very Good,68.3,54,1.25
20159,Round,11418,1.92,Ideal,J,SI1,Excellent,Excellent,63.1,58,1.01
20160,Round,11417,1.2,Ideal,G,VVS1,Excellent,Excellent,61.8,57,1
20161,Round,11417,1.35,Ideal,F,SI1,Excellent,Excellent,61.5,56,1
20162,Emerald,11417,1.8,Very Good,G,VS2,Excellent,Very Good,68.3,66,1.4
20163,Round,11417,1.02,Ideal,D,VVS1,Excellent,Excellent,61.4,56,1.01
