,Shape,Price,Carat,Cut,Color,Clarity,Polish,Symmetry,Depth,Table,L/W
0,Round,3643049,19.22,Ideal,D,FL,Excellent,Excellent,62.2,56,1
1,Round,1999429,14.36,Ideal,D,VVS1,Excellent,Excellent,62.4,58,1.01
2,Round,1814798,15.51,Ideal,E,FL,Excellent,Excellent,60.6,59,1.01
3,Round,1719899,10.28,Ideal,D,FL,Excellent,Excellent,59.5,58,1.01
4,Cushion,1692728,23.97,Very Good,H,VS1,Excellent,Very Good,68.5,62,1.13
5,Heart,1674719,10.82,Very Good,D,FL,Excellent,Excellent,54.8,62,0.89
6,Pear,1582440,11.71,Very Good,D,FL,Excellent,Excellent,64.3,61,1.46
7,Heart,1578871,10.2,Very Good,D,FL,Excellent,Excellent,55.1,57,0.85
8,Pear,1473559,10.43,Very Good,D,FL,Excellent,Excellent,63.8,55,1.74
9,Round,1456157,21.7,Ideal,H,VS2,Excellent,Excellent,61.5,58,1.01
10,Pear,1348000,10.01,Very Good,D,VVS1,Excellent,Excellent,61.6,59,1.8
11,Round,1314165,9.2,Ideal,D,FL,Excellent,Excellent,61.2,57,1.01
12,Round,1234989,8.58,Ideal,D,FL,Excellent,Excellent,59.9,60,1.01
13,Round,1223393,10.15,Ideal,D,VVS1,Excellent,Excellent,60.7,55,1.01
14,Oval,1203245,11.28,Very Good,F,VVS2,Very Good,Very Good,60.2,64,1.59
15,Round,1041516,10.03,Very Good,F,IF,Excellent,Very Good,59.2,58,1
16,Pear,998728,9.56,Very Good,D,FL,Excellent,Excellent,61.8,55,1.55
17,Pear,966904,10.69,Very Good,F,IF,Excellent,Excellent,60.9,63,1.61
18,Oval,958927,10.1,Very Good,E,VS1,Very Good,Very Good,60.4,60,1.43
19,Round,953695,10.22,Ideal,F,VVS2,Excellent,Excellent,59.5,59,1
20,Round,921871,8.77,Ideal,E,IF,Excellent,Excellent,58.4,62,1
21,Round,905066,7.2,Ideal,D,FL,Excellent,Excellent,61.9,56,1.01
22,Pear,848535,7.6,Very Good,D,IF,Excellent,Excellent,58.8,58,1.47
23,Heart,838317,10.06,Very Good,D,VS2,Excellent,Excellent,58.8,58,1.16
24,Round,832001,7.31,Ideal,D,VVS1,Excellent,Excellent,62.1,57,1
25,Pear,824663,10.06,Good,E,VS2,Excellent,Excellent,67.8,63,1.59
26,Round,823988,17.1,Ideal,I,VS1,Excellent,Excellent,62.8,55,1
27,Round,810874,14.17,Ideal,D,SI1,Excellent,Excellent,61.4,57,1
28,Oval,806383,8.45,Very Good,D,VVS2,Excellent,Excellent,58.1,58,1.82
29,Round,798020,9.68,Ideal,F,IF,Excellent,Excellent,61.4,57,1.01
30,Pear,767798,7.34,Good,D,IF,Excellent,Excellent,57.6,61,1.62
31,Round,741623,6.73,Ideal,D,FL,Excellent,Excellent,61.9,57,1.01
32,Emerald,736380,10.5,Very Good,E,VS2,Excellent,Very Good,63.5,69,1.43
33,Round,733425,7.41,Ideal,D,VVS1,Excellent,Excellent,61.9,58,1
34,Round,710021,9.04,Ideal,F,VVS1,Excellent,Excellent,62.9,56,1
35,Round,685356,20.23,Ideal,J,VS2,Excellent,Excellent,62.5,57,1
36,Round,680267,6.12,Ideal,D,FL,Excellent,Excellent,61.9,57,1.01
37,Round,674642,13.17,Ideal,H,VS2,Excellent,Excellent,57.9,60,1
38,Round,671260,12.26,Ideal,H,VVS2,Excellent,Excellent,61.8,57,1
39,Round,666929,6.0,Ideal,D,FL,Excellent,Excellent,61.1,57,1.01
40,Round,660358,6.03,Ideal,D,FL,Excellent,Excellent,61.0,58,1.01
41,Round,654264,5.76,Ideal,D,FL,Excellent,Excellent,61.8,58,1.01
42,Pear,644404,15.01,Very Good,E,SI2,Very Good,Very Good,61.7,56,1.5
43,Emerald,619618,7.25,Very Good,D,VS1,Excellent,Very Good,64.4,65,1.43
44,Round,612828,5.62,Ideal,D,FL,Excellent,Excellent,62.3,57,1
45,Cushion,597742,9.52,Very Good,F,VS1,Excellent,Excellent,63.8,64,1
46,Cushion,589761,10.64,Good,F,VS2,Excellent,Excellent,65.6,69,1.04
47,Pear,582141,8.52,Very Good,F,IF,Excellent,Excellent,63.6,58,1.56
48,Round,578632,10.18,Ideal,I,VVS2,Excellent,Excellent,59.4,59,1
49,Round,566788,7.27,Ideal,E,VVS2,Excellent,Excellent,59.2,59,1
50,Emerald,561000,8.34,Very Good,F,VS1,Excellent,Excellent,63.2,68,1.29
51,Emerald,560760,7.01,Very Good,E,VVS2,Excellent,Very Good,66.5,66,1.46
52,Oval,541724,7.18,Very Good,D,VVS1,Excellent,Excellent,64.3,56,1.48
53,Emerald,496107,14.38,Very Good,J,VS2,Very Good,Very Good,61.4,68,1.21
54,Pear,487359,10.05,Good,I,VVS1,Very Good,Good,59.1,66,1.57
55,Radiant,483093,13.31,Very Good,I,VS2,Very Good,Good,63.9,68,1.22
56,Round,481593,12.2,Ideal,I,VS2,Excellent,Excellent,58.6,62,1
57,Pear,474013,5.04,Good,D,IF,Excellent,Excellent,54.8,62,1.64
58,Cushion,469218,10.22,Very Good,E,SI1,Very Good,Very Good,63.6,63,1.21
59,Princess,462741,9.4,Very Good,G,VS1,Very Good,Very Good,72.3,72,1.01
60,Round,454449,7.28,Ideal,E,VS2,Excellent,Excellent,62.2,58,1
61,Cushion,454150,10.01,Very Good,G,VS2,Excellent,Very Good,67.5,61,1.03
62,Radiant,451615,10.06,Very Good,H,VS2,Very Good,Good,71.4,69,1.24
63,Princess,449884,10.05,Very Good,G,VS2,Excellent,Excellent,68.5,74,1.04
64,Emerald,445332,10.01,Very Good,H,VS1,Very Good,Very Good,68.7,62,1.51
65,Round,443000,10.23,Ideal,G,VS1,Excellent,Excellent,59.4,60,1
66,Pear,440301,10.05,Very Good,H,VS2,Very Good,Very Good,62.8,56,1.56
67,Cushion,436392,10.03,Very Good,G,VS2,Very Good,Very Good,66.8,56,1.15
68,Round,431831,10.05,Ideal,I,VVS1,Excellent,Excellent,59.8,59,1
69,Heart,425106,5.58,Very Good,D,FL,Excellent,Excellent,56.1,58,0.89
70,Oval,423726,5.15,Good,D,IF,Excellent,Excellent,61.9,65,1.42
71,Round,405819,11.02,Ideal,I,VS1,Excellent,Excellent,62.0,60,1
72,Round,403500,10.1,Ideal,I,VS2,Excellent,Excellent,60.6,60,1
73,Radiant,393947,10.01,Very Good,H,VVS2,Very Good,Good,64.3,74,1.11
74,Emerald,392449,5.05,Very Good,D,FL,Excellent,Excellent,65.5,65,1.41
75,Round,390777,7.31,Ideal,F,VS2,Excellent,Excellent,60.2,60,1.01
76,Round,386585,7.88,Ideal,G,VS1,Excellent,Excellent,60.4,60,1.01
77,Emerald,383785,7.02,Very Good,G,VVS2,Good,Good,68.8,66,1.26
78,Pear,382866,5.01,Very Good,D,IF,Very Good,Very Good,58.5,58,1.61
79,Pear,382184,6.21,Very Good,F,VS1,Very Good,Very Good,60.5,58,1.65
80,Emerald,382084,11.01,Very Good,I,SI1,Very Good,Excellent,67.9,63,1.47
81,Round,372248,12.02,Ideal,I,SI1,Excellent,Excellent,58.3,60,1.01
82,Round,370192,5.55,Ideal,E,VVS2,Excellent,Excellent,62.2,59,1.01
83,Round,369623,4.02,Ideal,D,IF,Excellent,Excellent,61.6,57,1
84,Emerald,368182,8.42,Very Good,H,VS1,Very Good,Very Good,64.8,64,1.36
85,Round,365247,5.07,Ideal,D,VS1,Excellent,Excellent,59.8,57,1.01
86,Pear,360153,5.26,Very Good,D,FL,Excellent,Excellent,66.2,54,1.49
87,Pear,357800,5.05,Very Good,D,FL,Excellent,Very Good,59.6,59,1.56
88,Round,356700,10.0,Very Good,I,VS2,Excellent,Very Good,60.0,60,1
89,Cushion,354806,8.03,Very Good,G,VS1,Excellent,Excellent,66.8,66,1.04
90,Oval,354756,10.13,Good,I,VS1,Very Good,Very Good,61.0,65,1.37
91,Round,354690,5.1,Ideal,E,VS1,Excellent,Excellent,61.5,58,1
92,Emerald,351828,11.51,Very Good,I,VS2,Excellent,Excellent,67.3,69,1.49
93,Emerald,345470,6.23,Very Good,E,VVS2,Very Good,Very Good,67.4,71,1.35
94,Round,345139,3.95,Ideal,D,FL,Excellent,Excellent,60.5,60,1
95,Round,342652,5.02,Ideal,E,IF,Excellent,Excellent,60.7,58,1
96,Pear,338913,5.73,Very Good,D,IF,Very Good,Very Good,61.8,57,1.58
97,Round,337775,10.03,Ideal,J,VS2,Excellent,Excellent,62.9,57,1.01
98,Emerald,336624,8.03,Very Good,G,VS2,Very Good,Very Good,61.4,63,1.05
99,Round,335063,7.7,Ideal,H,VS2,Excellent,Excellent,61.2,57,1.01
100,Cushion,334746,10.08,Very Good,G,VVS2,Excellent,Excellent,68.6,60,1
101,Emerald,333652,10.52,Very Good,I,SI1,Very Good,Very Good,68.8,63,1.58
102,Round,333524,10.01,Ideal,I,VS2,Excellent,Excellent,62.0,59,1
103,Round,331239,5.12,Ideal,E,VVS2,Excellent,Excellent,62.3,56,1
104,Round,329628,6.51,Very Good,G,VVS2,Very Good,Very Good,61.2,60,1.01
105,Round,327636,11.16,Ideal,I,SI1,Excellent,Excellent,57.9,60,1
106,Round,327141,7.01,Ideal,G,VS2,Excellent,Very Good,59.1,61,1.01
107,Cushion,327036,5.01,Very Good,D,VS1,Excellent,Very Good,64.0,62,1.15
108,Round,325248,10.13,Ideal,I,VS2,Excellent,Excellent,61.7,57,1
109,Marquise,324090,5.38,Very Good,F,VVS1,Very Good,Very Good,59.6,55,1.82
110,Emerald,320775,6.02,Very Good,F,VS1,Very Good,Very Good,62.9,66,1.4
111,Round,320704,4.02,Ideal,D,IF,Excellent,Excellent,61.1,57,1.01
112,Round,319479,8.79,Ideal,H,VS2,Excellent,Excellent,59.5,62,1.01
113,Round,319195,10.03,Very Good,I,SI1,Excellent,Excellent,64.4,57,1.01
114,Pear,318302,5.11,Very Good,D,FL,Excellent,Very Good,59.6,65,1.61
115,Round,313197,9.52,Ideal,G,VS2,Excellent,Excellent,61.0,58,1.01
116,Radiant,311635,10.14,Very Good,J,SI1,Very Good,Good,73.0,66,1.37
117,Round,308700,3.05,Astor Ideal,D,IF,Excellent,Excellent,61.4,55,1
118,Round,306344,4.02,Ideal,D,IF,Excellent,Excellent,62.8,58,1
119,Round,306254,11.1,Ideal,F,SI1,Excellent,Excellent,61.7,58,1
120,Round,305349,11.48,Ideal,J,VS1,Excellent,Excellent,61.9,59,1.01
121,Round,303702,5.15,Ideal,F,VVS1,Excellent,Excellent,61.9,57,1.01
122,Round,302204,10.02,Very Good,I,VS2,Very Good,Excellent,58.6,61,1
123,Round,300147,3.91,Ideal,D,IF,Excellent,Excellent,62.5,56,1
124,Emerald,298850,7.02,Good,F,VS2,Very Good,Very Good,63.9,75,1.28
125,Asscher,298079,10.01,Very Good,I,VS2,Excellent,Excellent,67.7,65,1.02
126,Emerald,293856,11.93,Very Good,I,SI2,Good,Very Good,58.6,63,1.34
127,Heart,293691,5.06,Very Good,D,VVS1,Excellent,Excellent,60.7,59,0.89
128,Oval,292127,5.05,Very Good,F,VVS1,Excellent,Excellent,64.4,56,1.48
129,Round,291421,7.73,Ideal,I,VS2,Excellent,Excellent,60.4,60,1.01
130,Asscher,290329,6.75,Very Good,G,IF,Excellent,Excellent,68.2,65,1.04
131,Heart,290267,5.01,Very Good,D,VVS2,Excellent,Very Good,60.2,56,0.89
132,Round,290113,5.21,Ideal,E,IF,Excellent,Excellent,62.0,57,1.01
133,Round,288753,6.0,Very Good,H,VVS1,Very Good,Very Good,56.6,61,1.01
134,Cushion,288364,10.03,Very Good,I,VS2,Excellent,Very Good,69.3,63,1
135,Round,287589,6.09,Ideal,F,VVS2,Excellent,Excellent,62.1,58,1
136,Emerald,286866,9.3,Very Good,I,VS2,Very Good,Good,61.8,67,1.51
137,Cushion,286859,5.02,Good,D,IF,Excellent,Very Good,67.7,69,1.15
138,Emerald,284912,10.03,Very Good,J,VS2,Very Good,Very Good,63.6,66,1.41
139,Emerald,284124,5.18,Very Good,F,IF,Very Good,Very Good,63.7,65,1.23
140,Round,283662,10.02,Ideal,J,SI1,Excellent,Excellent,59.4,61,1
141,Emerald,283268,5.51,Very Good,D,VS1,Very Good,Good,68.4,66,1.36
142,Pear,283268,5.0,Very Good,D,VS1,Excellent,Excellent,58.1,59,1.63
143,Asscher,283072,7.02,Good,G,VS1,Very Good,Excellent,64.8,70,1.02
144,Emerald,282539,10.07,Very Good,J,SI1,Very Good,Very Good,64.4,64,1.54
145,Round,281730,6.04,Ideal,E,VS2,Excellent,Very Good,62.5,57,1.01
146,Round,281392,5.71,Ideal,G,VS1,Excellent,Excellent,59.3,60,1
147,Emerald,280521,8.28,Very Good,F,IF,Excellent,Very Good,65.9,65,1.16
148,Round,278952,6.26,Ideal,G,VS2,Excellent,Excellent,58.7,60,1.01
149,Emerald,277450,7.54,Very Good,H,VS2,Good,Very Good,60.7,66,1.26
150,Round,276778,10.56,Ideal,J,VVS1,Excellent,Excellent,62.2,59,1.01
151,Emerald,275905,8.67,Good,I,VVS2,Very Good,Good,70.1,58,1.25
152,Pear,274638,5.13,Very Good,D,VS2,Very Good,Good,58.8,59,1.61
153,Emerald,273676,6.04,Very Good,F,VVS2,Excellent,Very Good,65.9,66,1.25
154,Round,273230,4.3,Ideal,D,VVS2,Excellent,Excellent,60.8,60,1.01
155,Heart,269519,5.01,Very Good,D,VVS2,Excellent,Excellent,54.1,60,0.87
156,Marquise,267399,7.02,Good,E,IF,Excellent,Excellent,65.3,55,1.88
157,Round,265004,7.2,Ideal,G,VVS1,Excellent,Excellent,62.8,59,1.01
158,Round,262474,7.75,Ideal,H,VS2,Very Good,Excellent,61.1,60,1.01
159,Oval,260736,5.42,Very Good,E,VVS2,Excellent,Excellent,60.8,61,1.45
160,Round,258665,5.53,Ideal,G,VVS1,Excellent,Excellent,60.5,60,1.01
161,Emerald,258572,6.36,Very Good,E,VS1,Excellent,Very Good,62.9,69,1.36
162,Round,256262,3.87,Ideal,E,IF,Excellent,Excellent,61.7,56,1
163,Pear,255294,5.09,Good,D,VVS2,Good,Very Good,54.5,60,1.51
164,Emerald,255204,5.11,Very Good,D,VS1,Excellent,Excellent,67.2,63,1.41
165,Round,254765,6.03,Ideal,G,VVS1,Excellent,Excellent,62.1,56,1
166,Pear,254542,5.88,Very Good,E,VS2,Very Good,Very Good,61.6,62,1.46
167,Round,254114,5.06,Ideal,E,FL,Excellent,Excellent,61.3,57,1.01
168,Round,253277,3.43,Ideal,D,FL,Excellent,Excellent,61.6,58,1
169,Round,252590,3.05,Ideal,D,IF,Excellent,Excellent,61.5,58,1
170,Round,249382,6.68,Ideal,E,VVS2,Excellent,Excellent,62.1,58,1.01
171,Round,248267,7.01,Ideal,H,VVS2,Excellent,Excellent,62.8,58,1.01
172,Round,243567,5.05,Ideal,F,VS1,Excellent,Excellent,61.6,57,1.01
173,Round,243420,4.16,Ideal,E,VVS2,Excellent,Excellent,59.9,58,1.01
174,Pear,242611,8.84,Good,I,VS2,Good,Good,56.6,60,1.54
175,Pear,241549,5.02,Very Good,E,VS1,Excellent,Very Good,66.4,61,1.53
176,Round,240895,7.03,Ideal,E,SI1,Excellent,Excellent,61.3,58,1
177,Pear,240756,6.11,Good,G,VVS1,Excellent,Excellent,56.6,56,1.62
178,Round,240377,5.01,Very Good,E,VS2,Very Good,Very Good,60.5,59,1.01
179,Pear,239319,5.01,Very Good,E,VVS2,Very Good,Good,62.2,61,1.64
180,Cushion,238831,10.02,Good,I,SI1,Very Good,Good,68.3,67,1.08
181,Round,238071,5.6,Ideal,D,VS2,Excellent,Excellent,61.6,57,1
182,Emerald,237446,6.07,Very Good,D,VVS1,Excellent,Excellent,67.3,63,1.33
183,Emerald,237367,7.02,Good,E,VVS2,Excellent,Excellent,70.3,69,1.31
184,Round,235204,6.26,Ideal,G,VS2,Excellent,Excellent,62.0,56,1
185,Round,234859,11.02,Ideal,I,SI2,Excellent,Excellent,60.8,59,1.01
186,Round,234228,3.4,Ideal,D,IF,Excellent,Excellent,61.1,58,1.01
187,Round,234228,3.5,Ideal,D,IF,Excellent,Excellent,62.0,55,1.01
188,Cushion,233761,9.35,Very Good,I,VS2,Excellent,Excellent,64.9,65,1.09
189,Pear,233496,4.01,Good,D,VVS1,Good,Good,56.8,63,1.48
190,Round,233294,5.51,Ideal,G,VVS2,Excellent,Excellent,61.7,58,1.01
191,Pear,230799,5.14,Very Good,F,VS1,Excellent,Excellent,63.4,61,1.63
192,Round,229949,12.0,Ideal,I,SI1,Excellent,Excellent,62.7,57,1
193,Round,228133,7.92,Ideal,G,SI2,Excellent,Excellent,59.0,61,1
194,Round,226591,7.03,Ideal,H,VVS2,Excellent,Excellent,60.0,60,1
195,Round,225553,4.76,Ideal,E,VS2,Excellent,Excellent,61.9,57,1.01
196,Round,224739,5.16,Ideal,F,VS1,Excellent,Excellent,62.1,59,1
197,Cushion,224736,6.56,Good,D,VS2,Very Good,Good,61.8,68,1.14
198,Round,224379,5.35,Ideal,F,VS2,Excellent,Excellent,61.9,58,1
199,Cushion,223801,10.07,Very Good,J,SI1,Very Good,Very Good,62.4,59,1.1
200,Marquise,223497,4.04,Good,D,IF,Very Good,Very Good,65.8,61,2.32
201,Oval,222571,8.1,Very Good,I,VS2,Excellent,Excellent,61.4,59,1.39
202,Round,222521,7.28,Ideal,H,VS2,Excellent,Excellent,62.6,56,1.01
203,Round,222226,5.02,Ideal,F,VS1,Excellent,Excellent,59.4,60,1
204,Round,221128,3.37,Ideal,D,IF,Excellent,Excellent,62.1,55,1.01
205,Round,220911,5.52,Ideal,G,VVS2,Excellent,Excellent,60.9,57,1
206,Round,220859,10.02,Good,J,VS2,Excellent,Very Good,65.1,58,1.01
207,Emerald,220721,5.03,Good,F,VS1,Good,Good,68.9,74,1.23
208,Round,219310,7.01,Ideal,H,VS2,Excellent,Excellent,62.1,58,1.01
209,Round,218648,3.82,Very Good,E,VVS1,Excellent,Excellent,61.5,54,1.01
210,Emerald,218337,5.04,Very Good,E,VVS2,Very Good,Very Good,67.7,58,1.24
211,Emerald,217799,5.4,Very Good,E,VS1,Excellent,Very Good,67.7,66,1.32
212,Round,216855,6.1,Ideal,H,VVS2,Excellent,Excellent,62.1,58,1
213,Pear,216302,5.11,Very Good,D,VS2,Excellent,Excellent,61.7,62,1.51
214,Round,216142,5.02,Ideal,D,VS2,Excellent,Excellent,62.8,58,1.01
215,Round,215757,6.01,Ideal,H,VS1,Excellent,Excellent,61.5,58,1.01
216,Round,215652,5.48,Ideal,F,VS1,Excellent,Excellent,61.9,59,1.01
217,Round,214706,8.01,Ideal,I,VS2,Excellent,Excellent,59.3,59,1
218,Round,214650,5.3,Ideal,D,VS1,Excellent,Excellent,62.0,59,1.01
219,Round,214648,8.0,Ideal,I,VS2,Excellent,Excellent,61.6,60,1.01
220,Radiant,212657,10.04,Very Good,J,SI1,Excellent,Good,67.3,72,1.27
221,Round,212166,3.03,Ideal,D,FL,Excellent,Excellent,61.6,56,1.01
222,Cushion,209896,8.13,Very Good,I,VVS2,Very Good,Very Good,68.1,66,1.04
223,Emerald,209780,5.01,Very Good,F,VS1,Very Good,Good,64.9,66,1.27
224,Round,209496,5.16,Ideal,G,VVS2,Excellent,Excellent,62.4,56,1.01
225,Round,208893,7.75,Ideal,I,VS2,Excellent,Very Good,59.1,60,1.01
226,Heart,208187,3.78,Very Good,D,IF,Very Good,Excellent,58.9,55,0.89
227,Round,207853,3.3,Ideal,D,IF,Excellent,Excellent,62.4,57,1
228,Cushion,207827,10.01,Good,J,SI1,Very Good,Good,68.8,69,1.1
229,Round,207222,3.22,Ideal,D,FL,Excellent,Excellent,62.6,56,1
230,Round,206902,4.77,Ideal,F,VS1,Excellent,Excellent,62.3,56,1
231,Emerald,206316,5.18,Very Good,D,VVS1,Excellent,Excellent,69.3,69,1.36
232,Heart,206219,5.21,Very Good,F,VVS1,Excellent,Excellent,54.9,57,0.96
233,Oval,206198,4.99,Very Good,G,VVS1,Excellent,Excellent,64.6,59,1.47
234,Round,205282,5.27,Ideal,G,VS1,Excellent,Excellent,61.8,58,1
235,Round,204495,5.49,Ideal,G,VS2,Excellent,Excellent,61.3,57,1.01
236,Cushion,203040,10.01,Good,J,SI1,Excellent,Excellent,70.5,60,1.09
237,Round,202937,3.02,Ideal,D,FL,Excellent,Excellent,62.5,56,1.01
238,Marquise,202889,4.61,Very Good,E,VVS1,Very Good,Very Good,62.1,55,2.41
239,Pear,202717,5.01,Very Good,F,VS1,Excellent,Excellent,61.8,58,1.51
240,Asscher,201716,5.3,Very Good,F,VVS2,Excellent,Excellent,66.0,66,1.01
241,Emerald,201443,10.01,Very Good,I,SI1,Excellent,Excellent,68.4,66,1.3
242,Round,201301,5.03,Ideal,G,VVS2,Excellent,Excellent,61.5,60,1.01
243,Round,201183,9.34,Ideal,J,SI1,Excellent,Excellent,62.7,58,1.01
244,Round,200720,5.02,Ideal,F,VS1,Excellent,Excellent,61.2,57,1.01
245,Pear,200704,3.23,Very Good,D,FL,Excellent,Excellent,61.7,61,1.56
246,Pear,199807,5.01,Very Good,H,VVS1,Excellent,Very Good,65.0,53,1.53
247,Round,199540,4.09,Ideal,D,VVS2,Excellent,Excellent,62.6,57,1
248,Marquise,199000,4.01,Very Good,D,IF,Excellent,Very Good,64.6,55,1.94
249,Princess,198895,10.02,Very Good,J,VS2,Very Good,Good,73.5,74,1.14
250,Round,197550,5.69,Ideal,H,VS1,Excellent,Excellent,61.4,55,1
251,Round,197481,6.22,Ideal,G,VS1,Excellent,Excellent,62.5,58,1.01
252,Round,197032,5.83,Ideal,G,VS1,Excellent,Excellent,60.7,60,1
253,Round,196897,3.8,Ideal,E,VVS1,Excellent,Excellent,59.7,58,1
254,Radiant,196648,7.05,Very Good,E,SI1,Excellent,Excellent,67.0,72,1.1
255,Pear,196327,3.7,Very Good,D,IF,Excellent,Very Good,63.4,60,1.71
256,Round,195512,3.01,Ideal,D,IF,Excellent,Very Good,61.9,56,1.01
257,Oval,195179,5.0,Very Good,F,VVS1,Very Good,Good,58.6,59,1.34
258,Pear,194792,4.02,Very Good,D,IF,Very Good,Very Good,59.8,57,1.55
259,Emerald,194335,5.32,Very Good,F,VS2,Excellent,Very Good,66.8,65,1.26
260,Radiant,194307,10.28,Very Good,J,SI1,Excellent,Very Good,69.5,68,1.2
261,Heart,194024,5.02,Good,E,VS2,Excellent,Excellent,61.1,54,0.84
262,Round,193654,5.87,Ideal,G,VS2,Excellent,Excellent,62.8,57,1.01
263,Emerald,193574,5.01,Very Good,D,VS1,Excellent,Excellent,67.0,66,1.34
264,Round,193496,4.05,Ideal,E,VVS2,Excellent,Very Good,60.4,60,1.01
265,Round,193481,5.05,Ideal,E,VVS2,Excellent,Excellent,62.5,58,1.01
266,Round,192924,9.0,Ideal,I,SI1,Excellent,Excellent,62.6,55,1.01
267,Pear,192844,4.1,Good,D,IF,Excellent,Excellent,55.1,54,1.58
268,Round,192123,4.77,Ideal,E,VS2,Excellent,Excellent,60.1,59,1.01
269,Marquise,191582,5.21,Very Good,E,VS2,Very Good,Very Good,63.2,62,1.97
270,Round,190823,5.83,Ideal,F,VS1,Excellent,Excellent,63.0,58,1.01
271,Round,190762,5.06,Ideal,G,VVS2,Excellent,Excellent,59.5,59,1
272,Round,190536,4.58,Ideal,F,VVS1,Excellent,Excellent,60.8,61,1
273,Emerald,190536,5.01,Very Good,F,VS1,Excellent,Excellent,66.9,64,1.35
274,Cushion,190491,10.09,Very Good,G,SI2,Excellent,Very Good,66.4,60,1.1
275,Round,190273,5.63,Ideal,G,VS1,Excellent,Excellent,62.5,57,1
276,Round,190235,5.4,Ideal,E,VS1,Excellent,Excellent,61.7,57,1.01
277,Round,189271,4.05,Ideal,G,VVS2,Excellent,Excellent,59.0,59,1
278,Asscher,189202,5.5,Very Good,F,VS1,Excellent,Excellent,68.0,66,1.01
279,Radiant,189065,5.0,Very Good,G,VS1,Good,Good,64.0,66,1.15
280,Round,188582,4.76,Ideal,F,VS2,Excellent,Excellent,61.9,57,1
281,Oval,188449,5.18,Good,E,VS1,Good,Good,60.1,51,1.44
282,Round,188259,5.13,Ideal,F,VS2,Excellent,Excellent,61.9,59,1.01
283,Round,187913,9.27,Ideal,J,SI1,Excellent,Excellent,62.9,58,1
284,Round,187782,6.02,Ideal,F,SI1,Excellent,Excellent,62.6,57,1.01
285,Round,187405,4.51,Ideal,F,VVS2,Excellent,Excellent,62.1,58,1
286,Round,187326,6.12,Ideal,E,VS1,Excellent,Excellent,61.4,60,1
287,Round,186138,7.0,Ideal,G,SI1,Excellent,Excellent,63.3,57,1.01
288,Round,185947,3.76,Ideal,E,VS1,Excellent,Excellent,61.6,54,1.01
289,Round,185390,7.2,Very Good,H,SI1,Very Good,Very Good,57.2,61,1.01
290,Pear,184655,3.48,Very Good,D,IF,Very Good,Very Good,65.3,53,1.74
291,Round,183642,3.81,Ideal,D,VVS2,Excellent,Excellent,59.0,59,1
292,Radiant,182679,5.12,Very Good,E,VS1,Excellent,Excellent,65.9,64,1.17
293,Round,182530,3.62,Ideal,D,IF,Excellent,Excellent,62.5,56,1.01
294,Radiant,182250,5.02,Very Good,E,VS1,Excellent,Very Good,71.4,67,1.04
295,Emerald,182017,5.03,Very Good,E,VS2,Excellent,Excellent,58.3,69,1.39
296,Cushion,181853,5.04,Good,E,VS1,Excellent,Very Good,69.7,67,1.16
297,Cushion,181341,7.13,Very Good,H,VS2,Excellent,Very Good,68.7,64,1.18
298,Round,181267,3.54,Ideal,D,VS1,Excellent,Excellent,61.5,59,1
299,Round,181208,4.02,Very Good,D,VS1,Excellent,Excellent,63.1,57,1
300,Round,180591,5.7,Ideal,G,VS1,Excellent,Excellent,62.1,59,1
301,Emerald,180528,5.21,Very Good,D,VVS2,Excellent,Excellent,65.0,65,1.43
302,Round,180303,5.18,Ideal,F,VS2,Excellent,Excellent,60.7,60,1.01
303,Oval,179636,5.05,Very Good,G,VS1,Very Good,Good,60.5,57,1.42
304,Round,179518,7.02,Ideal,I,VS2,Excellent,Excellent,61.3,59,1
305,Round,179393,6.03,Ideal,G,VVS2,Excellent,Excellent,61.1,59,1
306,Round,179302,7.25,Ideal,I,VS2,Excellent,Excellent,62.7,57,1
307,Radiant,179012,10.08,Very Good,J,SI1,Very Good,Good,71.9,67,1.12
308,Emerald,178806,8.51,Very Good,J,SI1,Good,Good,63.1,65,1.18
309,Round,178602,5.01,Ideal,F,VS2,Excellent,Excellent,61.3,60,1
310,Round,177710,4.1,Ideal,E,VVS2,Excellent,Excellent,62.1,58,1
311,Round,177458,5.0,Very Good,F,VVS2,Excellent,Very Good,63.1,57,1.01
312,Oval,177332,7.6,Good,I,SI1,Very Good,Very Good,65.8,58,1.44
313,Round,177223,5.08,Ideal,G,VS1,Excellent,Excellent,59.8,59,1.01
314,Pear,177038,4.36,Very Good,F,VVS1,Excellent,Very Good,63.7,62,1.59
315,Round,176985,5.1,Ideal,F,VVS2,Excellent,Excellent,61.9,59,1
316,Emerald,175893,5.01,Very Good,D,VS1,Excellent,Excellent,67.2,63,1.46
317,Round,175746,4.84,Ideal,E,VS2,Excellent,Very Good,60.4,59,1.01
318,Round,175282,7.11,Ideal,J,VS1,Excellent,Excellent,61.4,59,1
319,Round,174736,4.05,Ideal,D,VS1,Excellent,Excellent,60.7,59,1.01
320,Radiant,174546,10.04,Very Good,J,SI2,Excellent,Excellent,67.0,70,1.27
321,Cushion,174077,5.01,Very Good,E,VS2,Excellent,Very Good,69.2,60,1.1
322,Radiant,174050,5.01,Very Good,E,VS2,Excellent,Excellent,69.4,68,1.23
323,Round,174039,4.8,Ideal,G,VS1,Excellent,Excellent,62.2,58,1.01
324,Round,173324,6.02,Ideal,H,VS1,Excellent,Excellent,61.3,61,1
